name,nickname,image_link,birthday_year,birthday_month,birthday_day,blood_type,place_of_birth,height,hobby,special_skill,best_feature
今村 麻莉愛,まーさん,https://cf-pc.c-hkt48.com/img/profile/images/0056_320.jpg?20220311000322,2003,9,14,不明,群馬県,155,動画を見ること,側転・八重歯を見せること,ニコニコ笑顔・八重歯
小田 彩加,おだちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0061_320.jpg?20220311000322,1999,2,9,不明,福岡県,153,オリジナルの料理・神社巡り・フラワーアレンジメント,絵を描くこと・オーラの色を見ることができる・茶道・卓球,目
栗原 紗英,さえちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0046_320.jpg?20220311000323,1996,6,20,O,福岡県,164,映画鑑賞・カフェ巡り・メイク・いい香りのものを集めること,新体操・ダンス・どこでも眠れること,上向きまつげ
後藤 陽菜乃,ぴな,https://cf-pc.c-hkt48.com/img/profile/images/0085_320.jpg?20220311000325,2005,3,8,B,福岡県,154,ファッション メイク研究・コスメを集めること・お洋服を集めること・映画鑑賞,縄跳び・Jボード,長いまつ毛・笑ったときに無くなる目・八重歯
堺 萌香,おいもちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0062_320.jpg?20220311000327,1998,8,25,A,福岡県,148,筑後地方巡り・朝ごはん作り,少林寺拳法・手話,ふたつに割れた耳たぶ
坂本 愛玲菜,えれたん,https://cf-pc.c-hkt48.com/img/profile/images/0047_320.jpg?20220311000327,2000,9,12,A,福岡県,154,１人アカペラ・懐かないインコのお世話,即興ハモリ・ウェイクボード,眉毛・声・えくぼ
石 安伊,あいみゅん,https://cf-pc.c-hkt48.com/img/profile/images/0072_320.jpg?20220311000328,2000,12,31,B,福岡県,163,読書・ひとりカラオケ,中国語,丸顔
武田 智加,もかちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0064_320.jpg?20220311000328,2003,2,25,A,神奈川県,155,漫画を読むこと・演技の勉強・御朱印集め・料理・映画 ドラマ アニメ鑑賞,誰とでも仲良くなれる・記憶すること,困り眉・高い声
外薗 葉月,はづき,https://cf-pc.c-hkt48.com/img/profile/images/0050_320.jpg?20220311000329,1999,1,17,A,福岡県,152,ドラムを叩くこと・名所巡り,ダンス・タップダンス,笑顔
松岡 はな,はなちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0057_320.jpg?20220311000330,2000,1,19,A,千葉県,159,動画を見ること,ベロを３つにすること,お父さん譲りの長い指
松本 日向,ひなた,https://cf-pc.c-hkt48.com/img/profile/images/0068_320.jpg?20220311000330,2000,12,11,AB,大阪府,165,パン屋さん巡り・食べること,けん玉,陽気な性格・横顔・サラサラヘアの髪の毛
宮崎 想乃,その,https://cf-pc.c-hkt48.com/img/profile/images/0069_320.jpg?20220311000330,2000,10,30,A,佐賀県,161,たくさん食べること,佐賀県紹介,三重まぶた
村川 緋杏,びびあん,https://cf-pc.c-hkt48.com/img/profile/images/0058_320.jpg?20220311000331,1999,12,3,O,福岡県,157,野球観戦・服を買うこと・韓国語の勉強,一人喋り・ポジティブシンキング,まゆげ
山内 祐奈,ゆうな,https://cf-pc.c-hkt48.com/img/profile/images/0052_320.jpg?20220311000331,1999,7,6,A,福岡県,157,映画 ドラマ鑑賞・寝ること・愛犬の可愛い写真を撮ること,アニメ声を出すこと,まつげ
山下 エミリー,エミリー,https://cf-pc.c-hkt48.com/img/profile/images/0053_320.jpg?20220311000332,1998,12,19,O,福岡県,164,野球観戦・映画鑑賞,アコースティックギター　エレキギターを弾くこと,目
